17,Ildar,Moscow,description,1500,umbrella
18,Petr,London,description,1020,cloak
19,Igor,Paris,description,1050,boots
20,Vasya,Moscow,description,100,umbrella
21,Ildar,Moscow,description,1000,cap
22,Petr,London,description,100,umbrella
23,Igor,London,description,100,boots
24,Vasya,Paris,description,1050,boots
25,Petr,Paris,description,1050,umbrella
26,Ildar,Moscow,description,1500,cloak
27,Igor,Moscow,description,1050,cloak
28,Petr,Paris,description,1050,umbrella
29,Vasya,Moscow,description,1023,boots
30,Petr,Paris,description,1050,boots
31,Ildar,Moscow,description,1500,umbrella
32,Igor,London,description,1500,boots
